
Arkansas; 05011; Bradley County; 15,373; 32,909; 42,145; 52,612; 24,993; 32,222; 35,169
Arkansas; 05013; Calhoun County; 14,617; 32,909; 42,145; 52,870; 26,104; 32,222; 35,169
Arkansas; 05015; Carroll County; 16,401; 33,335; 42,572; 53,309; 25,952; 32,649; 35,593
Arkansas; 05017; Chicot County; 15,373; 32,909; 42,145; 52,612; 24,993; 32,222; 35,169
Arkansas; 05019; Clark County; 15,781; 33,213; 42,450; 53,384; 25,404; 32,527; 35,471
Arkansas; 05021; Clay County; 15,857; 32,909; 42,145; 52,930; 25,419; 32,222; 35,169
Arkansas; 05023; Cleburne County; 16,643; 33,609; 42,847; 54,581; 26,195; 32,924; 35,865
Arkansas; 05025; Cleveland County; 15,600; 34,080; 43,321; 53,687; 26,256; 33,397; 36,335
Arkansas; 05027; Columbia County; 14,677; 32,970; 42,206; 52,582; 25,663; 32,283; 35,229
Arkansas; 05029; Conway County; 16,053; 32,909; 42,145; 53,672; 25,784; 32,222; 35,169
Arkansas; 05031; Craighead County; 16,673; 33,654; 42,893; 54,959; 26,515; 32,970; 35,911
Arkansas; 05033; Crawford County; 15,539; 33,548; 42,786; 54,172; 25,876; 32,863; 35,805
Arkansas; 05035; Crittenden County; 19,379; 36,987; 46,236; 58,730; 29,802; 36,313; 39,227
Arkansas; 05037; Cross County; 16,083; 32,954; 42,191; 54,369; 25,632; 32,267; 35,214
Arkansas; 05039; Dallas County; 14,617; 32,909; 42,145; 52,870; 26,104; 32,222; 35,169
Arkansas; 05041; Desha County; 15,373; 32,909; 42,145; 52,855; 24,993; 32,222; 35,169
Arkansas; 05043; Drew County; 15,146; 33,715; 42,954; 53,748; 26,271; 33,031; 35,971
Arkansas; 05045; Faulkner County; 17,747; 35,480; 44,725; 56,807; 28,417; 34,802; 37,728
Arkansas; 05047; Franklin County; 14,647; 32,909; 42,145; 52,824; 25,739; 32,222; 35,169
Arkansas; 05049; Fulton County; 15,781; 32,909; 42,145; 53,188; 25,328; 32,222; 35,169
Arkansas; 05051; Garland County; 15,660; 34,522; 43,763; 54,672; 26,667; 33,840; 36,774
Arkansas; 05053; Grant County; 16,129; 33,365; 42,603; 54,884; 25,861; 32,680; 35,623
Arkansas; 05055; Greene County; 14,632; 32,909; 42,145; 54,338; 26,150; 32,222; 35,169
